"","week_start","count_per_week","gas_price","new_covid_cases","tavg","prcp","wspd","month","season"
"7",2020-02-10,29104,2.591,0,2.24285714285714,3.12857142857143,16.9285714285714,2,"Winter"
"8",2020-02-17,31977,2.563,0,2.85714285714286,1.62857142857143,17.6857142857143,2,"Winter"
"9",2020-02-24,36606,2.571,0,4.11428571428571,4.2,19.8428571428571,2,"Winter"
"10",2020-03-02,39780,2.546,2.71428571428571,5.34285714285714,0.228571428571429,22.4714285714286,3,"Winter"
"11",2020-03-09,39224,2.52,6.71428571428571,8.34285714285714,1.05714285714286,19.8714285714286,3,"Winter"
"12",2020-03-16,14237,2.407,47,4.38571428571429,2.21428571428571,19.4857142857143,3,"Winter"
"13",2020-03-23,9706,2.284,106.142857142857,5.3,9.3,20.2,3,"Spring"
"14",2020-03-30,8347,2.169,200.857142857143,4.55714285714286,3.91428571428571,23.9857142857143,3,"Spring"
"15",2020-04-06,11910,2.092,262,8.12857142857143,2.62857142857143,19.4,4,"Spring"
"16",2020-04-13,11241,2.025,306,7.77142857142857,4.5,21.6571428571429,4,"Spring"
"17",2020-04-20,11825,1.985,317.571428571429,6.55714285714286,2.75714285714286,20.6714285714286,4,"Spring"
"18",2020-04-27,18059,1.959,224.857142857143,9.52857142857143,5.12857142857143,20.2571428571429,4,"Spring"
"19",2020-05-04,16656,1.953,159,9.92857142857143,1.38571428571429,20.6428571428571,5,"Spring"
"20",2020-05-11,25581,1.983,108.428571428571,12.6285714285714,3.4,19.2857142857143,5,"Spring"
"21",2020-05-18,29934,2.008,75.2857142857143,13.3857142857143,0,18.7714285714286,5,"Spring"
"22",2020-05-25,39048,2.056,44.7142857142857,18.5,0.328571428571429,18.6285714285714,5,"Spring"
"23",2020-06-01,38429,2.064,35.1428571428571,18.6142857142857,1.21428571428571,15.4285714285714,6,"Summer"
"24",2020-06-08,46002,2.099,24.7142857142857,18.7428571428571,2.68571428571429,15.5857142857143,6,"Summer"
"25",2020-06-15,49382,2.111,20.5714285714286,21.2571428571429,0,14.0857142857143,6,"Summer"
"26",2020-06-22,48932,2.134,21.2857142857143,22.8857142857143,4.42857142857143,13.6285714285714,6,"Summer"
"27",2020-06-29,49901,2.17,22.8571428571429,19.8428571428571,2,12.4571428571429,6,"Summer"
"28",2020-07-06,56659,2.174,27.8571428571429,23.3857142857143,0.0428571428571429,18.6142857142857,7,"Summer"
"29",2020-07-13,57682,2.175,28.1428571428571,22.0714285714286,3.15714285714286,14.3428571428571,7,"Summer"
"30",2020-07-20,61005,2.184,24.7142857142857,25.6285714285714,3.22857142857143,15.1285714285714,7,"Summer"
"31",2020-07-27,64086,2.18,40.1428571428571,26.4571428571429,0.257142857142857,15.5428571428571,7,"Summer"
"32",2020-08-03,65258,2.18,42.4285714285714,24.4714285714286,0.614285714285714,15.8428571428571,8,"Summer"
"33",2020-08-10,63454,2.178,50.5714285714286,24.4428571428571,0.585714285714286,15.6428571428571,8,"Summer"
"34",2020-08-17,65343,2.176,48.1428571428571,21.9857142857143,5.91428571428571,14.8857142857143,8,"Summer"
"35",2020-08-24,64937,2.173,49.4285714285714,21.6,0.914285714285714,16.1,8,"Summer"
"36",2020-08-31,71564,2.22,53.5714285714286,20.3285714285714,0.771428571428571,13.5857142857143,8,"Summer"
"37",2020-09-07,75354,2.191,54.4285714285714,19.6285714285714,0.914285714285714,13.9428571428571,9,"Summer"
"38",2020-09-14,70997,2.188,54.1428571428571,15.6428571428571,0,18.6571428571429,9,"Summer"
"39",2020-09-21,73161,2.183,67.2857142857143,16.9714285714286,0,14.8571428571429,9,"Fall"
"40",2020-09-28,69300,2.175,74,17.6428571428571,1.92857142857143,16.1142857142857,9,"Fall"
